TradingSymbol,Date,EntryPrice,ExitPrice,Qty,ProfitLoss,Transaction,ExitType,Cumulative
BANKNIFTY21OCT40400PE,28/10/2021,151.05 Time:11:49,211.45 Time:12:14,25,-1510.00,SELL,SHORT_SL,-286.25
BANKNIFTY21OCT40600CE,25/10/2021,389.15 Time:09:17,544.85 Time:10:21,25,-3892.50,SELL,SHORT_SL,-3892.50
BANKNIFTY21OCT40600CE,28/10/2021,261.00 Time:09:17,78.30 Time:10:49,25,4567.50,SELL,SHORT_TARGET,675.00
BANKNIFTY21OCT40800PE,25/10/2021,416.45 Time:09:17,164.15 Time:03:26,25,6307.50,SELL,SQUAREOFF,6307.50
BANKNIFTY21OCT40800PE,28/10/2021,213.30 Time:09:17,298.60 Time:09:33,25,-2132.50,SELL,SHORT_SL,4175.00
BANKNIFTY21OCT40800CE,25/10/2021,382.35 Time:10:22,535.25 Time:10:40,25,-3822.50,SELL,SHORT_SL,-3822.50
BANKNIFTY21OCT41000CE,25/10/2021,406.95 Time:10:41,569.75 Time:11:45,25,-4070.00,SELL,SHORT_SL,-4070.00
BANKNIFTY21OCT41000CE,25/10/2021,501.00 Time:02:19,548.60 Time:03:26,25,-1190.00,SELL,SQUAREOFF,-5260.00
BANKNIFTY21OCT41000CE,27/10/2021,376.65 Time:09:17,154.00 Time:03:26,25,5566.25,SELL,SQUAREOFF,306.25
BANKNIFTY21OCT41200CE,25/10/2021,452.35 Time:11:46,633.25 Time:12:01,25,-4522.50,SELL,SHORT_SL,-4522.50
BANKNIFTY21OCT41500CE,25/10/2021,511.15 Time:12:02,715.65 Time:12:05,25,-5112.50,SELL,SHORT_SL,-5112.50
BANKNIFTY21OCT41700CE,25/10/2021,579.95 Time:12:06,173.95 Time:02:18,25,10150.00,SELL,SHORT_TARGET,10150.00
BANKNIFTY21OCT41100CE,26/10/2021,434.00 Time:09:17,430.00 Time:03:26,25,100.00,SELL,SQUAREOFF,100.00
BANKNIFTY21OCT41300PE,26/10/2021,374.40 Time:09:17,524.20 Time:10:45,25,-3745.00,SELL,SHORT_SL,-3745.00
BANKNIFTY21OCT41000PE,26/10/2021,363.40 Time:10:46,123.20 Time:03:26,25,6005.00,SELL,SQUAREOFF,6005.00
BANKNIFTY21OCT41000PE,27/10/2021,216.85 Time:02:21,252.95 Time:03:26,25,-902.50,SELL,SQUAREOFF,5102.50
BANKNIFTY21OCT41200PE,27/10/2021,265.70 Time:09:17,372.00 Time:02:20,25,-2657.50,SELL,SHORT_SL,-2657.50
BANKNIFTY21OCT40700PE,28/10/2021,212.25 Time:09:34,297.15 Time:09:58,25,-2122.50,SELL,SHORT_SL,-2122.50
BANKNIFTY21OCT40600PE,28/10/2021,234.20 Time:09:59,327.90 Time:10:53,25,-2342.50,SELL,SHORT_SL,-2342.50
BANKNIFTY21OCT40300PE,28/10/2021,206.50 Time:11:04,289.10 Time:11:05,25,-2065.00,SELL,SHORT_SL,-2065.00
BANKNIFTY21OCT40300PE,28/10/2021,161.50 Time:12:15,226.10 Time:12:28,25,-1615.00,SELL,SHORT_SL,-3680.00
